W&B run: https://wandb.ai/vuongcris4-hcmute/thietkedenoiser/runs/vrylq49n
OpenEarthMap train: 2303 samples
OpenEarthMap val: 384 samples
Model params: 24.5M total, 24.5M trainable
/home/ubuntu/thietkedenoiser/src/train_dae.py:274: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
/home/ubuntu/thietkedenoiser/src/train_dae.py:76: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Batch 500/575 | Loss: 0.7464 | Acc: 0.9537
  Batch 520/575 | Loss: 0.6949 | Acc: 0.9537
  Batch 540/575 | Loss: 0.7012 | Acc: 0.9536
  Batch 560/575 | Loss: 0.6569 | Acc: 0.9537
Epoch   9/100 | Train Loss: 0.7666 Acc: 0.9536 | Val Loss: 0.7123 mIoU: 0.9221 | LR: 0.000098 | 77.5s
  IoU: Bare:0.957 Rang:0.923 Deve:0.919 Road:0.886 Tree:0.892 Wate:0.926 Agri:0.922 Buil:0.952
  >>> New best mIoU: 0.9221, saved to checkpoints/dae_unet_resnet34_mixed_20260319_022703_best.pth
  Batch 20/575 | Loss: 1.1294 | Acc: 0.9583
  Batch 40/575 | Loss: 0.9117 | Acc: 0.9526
  Batch 60/575 | Loss: 0.7303 | Acc: 0.9533
  Batch 80/575 | Loss: 0.7261 | Acc: 0.9541
  Batch 100/575 | Loss: 0.9426 | Acc: 0.9550
  Batch 120/575 | Loss: 0.8213 | Acc: 0.9545
  Batch 140/575 | Loss: 0.7320 | Acc: 0.9545
  Batch 160/575 | Loss: 0.7213 | Acc: 0.9544
  Batch 180/575 | Loss: 0.6196 | Acc: 0.9550
  Batch 200/575 | Loss: 0.7255 | Acc: 0.9545
  Batch 220/575 | Loss: 0.6973 | Acc: 0.9548
  Batch 240/575 | Loss: 0.7648 | Acc: 0.9544
  Batch 260/575 | Loss: 0.7292 | Acc: 0.9544
  Batch 280/575 | Loss: 0.9280 | Acc: 0.9541
  Batch 300/575 | Loss: 0.8899 | Acc: 0.9540
  Batch 320/575 | Loss: 0.6637 | Acc: 0.9542
  Batch 340/575 | Loss: 0.6966 | Acc: 0.9545
  Batch 360/575 | Loss: 0.6795 | Acc: 0.9545
  Batch 380/575 | Loss: 0.7231 | Acc: 0.9546
  Batch 400/575 | Loss: 0.8456 | Acc: 0.9546
  Batch 420/575 | Loss: 0.6674 | Acc: 0.9548
  Batch 440/575 | Loss: 0.6183 | Acc: 0.9550
  Batch 460/575 | Loss: 0.8162 | Acc: 0.9548
  Batch 480/575 | Loss: 0.8016 | Acc: 0.9549
  Batch 500/575 | Loss: 0.6905 | Acc: 0.9550
  Batch 520/575 | Loss: 0.6283 | Acc: 0.9551
  Batch 540/575 | Loss: 0.7127 | Acc: 0.9550
  Batch 560/575 | Loss: 0.7791 | Acc: 0.9550
Epoch  10/100 | Train Loss: 0.7545 Acc: 0.9549 | Val Loss: 0.7821 mIoU: 0.9069 | LR: 0.000098 | 79.6s
  IoU: Bare:0.931 Rang:0.898 Deve:0.902 Road:0.874 Tree:0.873 Wate:0.919 Agri:0.933 Buil:0.926
  Batch 20/575 | Loss: 0.6184 | Acc: 0.9579
  Batch 40/575 | Loss: 0.7098 | Acc: 0.9548
  Batch 60/575 | Loss: 0.7380 | Acc: 0.9562
  Batch 80/575 | Loss: 0.6599 | Acc: 0.9557
  Batch 100/575 | Loss: 0.7083 | Acc: 0.9555
  Batch 120/575 | Loss: 0.7289 | Acc: 0.9555
  Batch 140/575 | Loss: 0.8017 | Acc: 0.9552
  Batch 160/575 | Loss: 0.7046 | Acc: 0.9555
  Batch 180/575 | Loss: 0.6899 | Acc: 0.9555
  Batch 200/575 | Loss: 0.7529 | Acc: 0.9558
  Batch 220/575 | Loss: 0.8213 | Acc: 0.9558
  Batch 240/575 | Loss: 0.8086 | Acc: 0.9557
  Batch 260/575 | Loss: 0.8193 | Acc: 0.9557
  Batch 280/575 | Loss: 0.7325 | Acc: 0.9557
  Batch 300/575 | Loss: 0.6827 | Acc: 0.9557
  Batch 320/575 | Loss: 0.8934 | Acc: 0.9557
  Batch 340/575 | Loss: 0.7284 | Acc: 0.9557
  Batch 360/575 | Loss: 0.6911 | Acc: 0.9555
